pupilid,tracking,girl,agetest,bottomhalf,percentile,totalscore,act_track
9381057,0,1,9,1,26.44628,4.435714,0
9381063,0,0,8,0,73.96694,26.16429,0
9381073,0,0,9,1,17.35537,11.71429,0
9381079,0,0,6,1,35.53719,19.42857,0
9381083,0,0,9,1,47.93388,9.028571,0
9381089,0,0,9,0,91.73553,,0
9381097,0,0,9,0,83.47108,20.65714,0
9381103,0,0,11,0,65.28925,17.66429,0
9381105,0,0,10,0,63.63636,21.02857,0
9381109,0,0,9,1,41.32232,15.07857,0
9381113,0,0,10,0,78.5124,7.057143,0
9381115,0,0,9,0,79.75207,8.971429,0
9381117,0,0,,0,92.56198,,0
9381119,0,0,6,1,41.32232,11.05,0
9381121,0,0,10,1,35.53719,7.535714,0
9381125,0,0,10,0,85.12397,13.34286,0
9391001,1,0,,1,0.9433985,,1
9391002,1,0,10,1,2.830184,6.642857,1
9391003,1,0,8,1,4.71698,22.83571,1
9391004,1,0,8,1,6.603777,11.45714,1
9391005,1,0,9,1,8.490562,7.335714,1
9391006,1,0,8,1,10.37736,4.714286,1
9391007,1,1,8,1,12.26415,8.914286,1
9391008,1,1,9,1,14.15094,14.27143,1
9391009,1,0,10,1,16.98113,,1
9391010,1,0,,1,19.81132,,1
9391011,1,1,8,1,18.86792,23.51429,1
9391012,1,0,8,1,21.69812,13.17143,1
9391013,1,1,8,1,24.5283,26.59286,1
9391014,1,0,8,1,27.35849,,1
9391015,1,1,12,1,26.41509,5.5,1
9391016,1,1,8,1,29.24528,,1
9391017,1,0,8,1,31.13208,13.89286,1
9391018,1,1,8,1,33.01886,17.67143,1
9391019,1,1,10,1,34.90566,2.207143,1
9391020,1,0,8,1,36.79246,29.17143,1
9391021,1,1,7,1,38.67924,3.778571,1
9391022,1,1,10,1,40.56604,10.91429,1
9391023,1,0,11,1,43.39622,9.685715,1
9391024,1,1,8,1,46.22642,33.58572,1
9391025,1,0,10,1,45.28302,15.05,1
9421034,1,1,8,0,52.30769,26.38572,1
9421035,1,1,8,0,54.61538,16.67143,1
9421036,1,0,8,0,53.84615,21.70714,1
9421037,1,1,9,0,56.92308,11.41429,1
9421039,1,0,9,0,58.46154,9.9,1
9421040,1,1,10,0,60.76923,18.53572,1
9421041,1,1,8,0,62.30769,,1
9421042,1,1,10,0,63.84615,9.214286,1
9421043,1,1,9,0,65.38461,,1
9421044,1,1,10,0,66.92307,16.42143,1
9421045,1,0,8,0,68.46154,27.54286,1
9421046,1,1,8,0,70.76923,24.91429,1
9421047,1,0,8,0,73.07692,11.9,1
9421048,1,1,10,0,72.30769,20.45714,1
9421049,1,1,10,0,74.61539,14.44286,1
9421050,1,0,8,0,76.15385,26.62857,1
9421051,1,0,11,0,77.69231,16.74286,1
9421052,1,0,8,0,80,15.24286,1
9421053,1,1,11,0,82.30769,,1
9421054,1,0,10,0,81.53846,18.88571,1
9421055,1,1,9,0,83.84615,30.02857,1
9421056,1,1,8,0,86.15385,22.82143,1
9421057,1,0,9,0,90,30.94286,1
9421058,1,1,10,0,87.69231,31.32143,1
9421059,1,0,10,0,93.84615,20.27143,1
9421060,1,0,9,0,92.30769,,1
9421061,1,0,10,0,92.30769,16.94286,1
9421062,1,1,10,0,96.15385,27.07143,1
9421063,1,1,10,0,95.38461,19.84286,1
9421065,1,1,8,0,99.23077,32.12857,1
9431001,0,0,10,1,44.31818,18.08571,0
9431003,0,0,9,1,1.136363,,0
9431005,0,0,9,0,62.5,10.78571,0
9431007,0,0,12,1,48.86364,17.51429,0
9431009,0,0,8,0,87.5,28.78571,0
9431011,0,0,9,0,89.77273,32.57143,0
9431013,0,0,8,1,3.409088,4.314286,0
9431015,0,0,10,0,73.86364,13.50714,0
9431017,0,0,8,0,96.59091,31.34286,0
9431019,0,0,10,0,51.13636,1.6,0
9431021,0,0,10,1,12.5,2.75,0
9431023,0,1,9,0,94.31818,,0
9431025,0,1,9,1,32.95454,24.42857,0
9431027,0,1,10,0,67.04546,23.1,0
9431029,0,1,9,1,26.13636,21.38571,0
9431031,0,1,10,1,42.04546,17.88572,0
9431033,0,1,10,0,85.22727,27.36429,0
9431035,0,0,9,0,55.68182,20.28572,0
9431037,0,1,11,1,39.77272,13.42857,0
9431039,0,1,9,1,19.31818,22.77857,0
9431041,0,1,9,1,46.59091,17.03572,0
9431043,0,1,7,0,53.40909,19.95,0
9451001,0,0,12,0,97.61905,23.14286,0
9451003,0,0,14,1,5.555558,3.45,0
9451004,0,0,9,0,69.04762,13.48571,0
9451006,0,0,10,0,75.39682,18.74286,0
9451007,0,0,10,1,46.8254,12.74286,0
9451008,0,0,11,0,73.80952,28.2,0
9451009,0,0,10,1,24.60318,13.55714,0
9451011,0,0,11,1,16.66666,5.1,0
9451013,0,0,10,1,21.42857,10.37143,0
9451014,0,0,10,0,84.92063,21.1,0
9451017,0,0,13,0,80.15873,,0
9451019,0,0,11,0,62.69841,9.942857,0
9451020,0,1,,1,11.90476,,0
9451021,0,1,14,1,8.730162,0,0
9451022,0,1,9,1,35.71428,9.514286,0
9451024,0,1,10,0,82.53968,18.97143,0
9451025,0,1,9,1,45.23809,7.3,0
9451026,0,1,10,,,7.685714,0
9451027,0,1,10,0,61.11111,19.07143,0
9451029,0,1,11,0,51.5873,21.61428,0
9451030,0,1,9,0,95.2381,30.98571,0
9451031,0,1,10,1,48.41269,13.08571,0
9451032,0,1,9,1,43.65079,12.22143,0
9461059,1,0,8,1,50,,0
9461060,1,1,8,0,51.29311,16.22857,1
9461063,1,1,8,0,55.60345,8.378572,1
9461064,1,1,8,0,55.17241,16.32143,1
9461066,1,0,7,0,57.32759,22.91429,1
9461068,1,0,9,0,58.62069,6.207143,1
9461069,1,0,9,0,58.62069,6.1,1
9461070,1,0,8,0,60.77586,5.45,1
9461073,1,0,9,0,63.36207,4.6,1
9461074,1,0,10,0,62.93103,11.05714,1
9461076,1,1,9,0,65.51724,,1
9461079,1,1,8,0,69.39655,,1
9461081,1,1,9,0,68.96552,19.29286,1
9461082,1,0,7,0,70.25862,,1
9461083,1,1,10,0,71.98276,34.97857,1
9461084,1,0,8,0,73.70689,27.46428,1
9461085,1,1,9,0,73.27586,6.428572,1
9461087,1,0,10,0,75.43103,25.03571,1
9461088,1,0,11,0,78.44827,11.6,1
9461092,1,0,10,0,80.17242,32.39286,1
9461093,1,1,9,0,80.17242,28.39286,1
9461095,1,1,9,0,81.89655,30.49286,1
9461097,1,0,8,0,82.75862,28.91429,1
9461099,1,0,11,0,84.9138,9.3,1
9461100,1,0,10,0,86.20689,7.278572,1
9461101,1,0,8,0,87.5,,1
9461102,1,1,8,0,87.06897,30.26429,1
9461104,1,0,11,0,89.22414,26.24286,1
9461105,1,0,9,0,90.0862,19.22857,1
9461107,1,0,9,0,93.53448,22.55,1
9461110,1,0,9,0,94.39655,31.88572,1
9461112,1,1,11,0,96.12069,,1
9461114,1,0,7,0,97.84483,,1
9461115,1,0,9,0,98.70689,19.12143,1
9501036,1,0,8,0,56.52174,4.6,1
9501037,1,0,12,0,55.07246,11.58571,1
9501039,1,1,7,0,55.07246,20.29286,1
9501040,1,1,8,0,59.42029,14.00714,1
9501041,1,1,6,0,57.97102,,1
9501043,1,0,9,0,60.86956,26.57857,1
9501044,1,1,10,0,65.21739,23.04286,1
9501045,1,1,9,0,63.76812,13.45714,1
9501046,1,1,10,0,67.3913,21.55,1
9501047,1,0,9,0,66.66666,10.22143,1
9501048,1,1,7,0,69.56522,,1
9501049,1,1,8,0,71.73913,20.90714,1
9501050,1,0,12,0,71.0145,10.22143,1
9501051,1,0,10,0,73.91304,14.91429,1
9501052,1,1,9,0,76.08696,25.48571,1
9501053,1,0,7,0,75.36232,17.02857,1
9501055,1,1,8,0,81.88406,18.34286,1
9501056,1,1,9,0,81.15942,27.89286,1
9501057,1,0,9,0,81.15942,7.471429,1
9501058,1,1,10,0,83.33334,26.94286,1
9501059,1,0,9,0,84.78261,26.66429,1
9501060,1,0,9,0,87.68116,15.6,1
9501061,1,0,7,0,90.57971,26.16429,1
9501062,1,0,7,0,89.85507,22.74286,1
9501063,1,0,7,0,89.85507,10,1
9501065,1,0,12,0,94.2029,32.36428,1
9501066,1,0,7,0,96.37681,29.05714,1
9501067,1,1,6,0,95.65218,,1
9501068,1,0,8,0,97.82609,22.25,1
9501069,1,0,6,0,99.27536,,1
9531050,1,0,10,1,50,5.935714,0
9531052,1,1,8,0,53.06122,23.38571,1
9531053,1,1,9,0,53.06122,4.085714,1
9531054,1,1,8,0,54.59184,14.67143,1
9531055,1,0,9,0,56.63265,,1
9531056,1,0,9,0,58.67347,12.37857,1
9531058,1,1,9,0,58.16327,11.14286,1
9531059,1,0,10,0,60.71429,12.46429,1
9531062,1,0,10,0,62.2449,18.55,1
9531064,1,0,11,0,64.28571,8.907143,1
9531065,1,0,11,0,68.87755,6.864285,1
9531066,1,0,11,0,67.34694,11.4,1
9531067,1,0,9,0,67.34694,,1
9531068,1,0,11,0,70.91837,3.485714,1
9531069,1,,9,0,70.40816,20.1,1
9531071,1,0,9,0,72.44898,22.91429,1
9531073,1,1,10,0,73.46939,11.91429,1
9531074,1,0,10,0,75,9.45,1
9531075,1,0,8,0,76.02041,12.7,1
9531078,1,1,8,0,78.57143,10.80714,1
9531079,1,0,8,0,80.10204,8.514286,1
9531082,1,0,11,0,83.67347,7.828571,1
